,0
Contract_Month-to-month,0.10952798163081669
tenure,0.10363651844387681
TotalCharges,0.09416864177768411
MonthlyCharges,0.07661540163796471
AvgMonthlyCharges,0.07532516607112133
HighCost_Monthly,0.06992922412652658
Contract_Two year,0.06431646892855024
InternetService_Fiber optic,0.04696287373010339
PaymentMethod_Electronic check,0.037815065090101345
TenureGroup_2-6 months,0.03457761678107999
NumServices,0.022111559502737275
OnlineSecurity_Yes,0.01669910768336708
Contract_One year,0.015347148373670043
TenureGroup_5+ years,0.01509639140332142
PaperlessBilling,0.015024582684889749
